CODE_ID,用地性质,临路类型,地块面积,容积率,总建筑面积,建筑密度,建筑最大高度,建筑平均高度,DIKUAI_ID
DIKUAI_926,行政办公用地,非临路型,2672.91,2.2618,6045.683,0.4284,21,7.2,DIKUAI_2024_0418
DIKUAI_919,零售商业用地,临路型,348.892,0.0337,11.748,0.0337,3,3,DIKUAI_2024_0419
DIKUAI_822,行政办公用地,临路型,1228.97,1.4161,1740.3101,0.177,24,24,DIKUAI_2024_0420
DIKUAI_1649,其它商务设施用地,临路型,1099.08,2.7152,2984.2434,0.4459,21,10,DIKUAI_2024_0422
DIKUAI_983,公用设施用地,临路型,3308.05,1.8495,6118.2976,0.3589,21,10.7143,DIKUAI_2024_0423
DIKUAI_1623,城镇住宅用地,临路型,771.076,2.3503,1812.278,0.4368,18,9,DIKUAI_2024_0425
DIKUAI_981,工业用地,临路型,8361.67,0.6447,5391.1302,0.5227,21,7,DIKUAI_2024_0426
DIKUAI_925,公用设施用地,临路型,3691.81,1.2494,4612.3891,0.4003,18,6.5,DIKUAI_2024_0427
DIKUAI_2296,行政办公用地,临路型,1227.83,2.031,2493.7823,0.3491,24,16.2,DIKUAI_2024_0428
DIKUAI_1594,中小学用地,临路型,2129.49,0.6351,1352.3653,0.2796,9,5.25,DIKUAI_2024_0429
DIKUAI_1010,商住混合用地,临路型,2263.25,2.5333,5733.5962,0.5096,15,9,DIKUAI_2024_0431
DIKUAI_974,城镇住宅用地,临路型,13538.6,2.2188,30039.4989,0.3693,21,14.25,DIKUAI_2024_0432
DIKUAI_820,特殊用地,临路型,116395,0.8054,93750.2711,0.2331,39,7.9831,DIKUAI_2024_0433
DIKUAI_1353,城镇住宅用地,临路型,21723.1,1.0428,22653.1698,0.2503,21,8.1081,DIKUAI_2024_0434
DIKUAI_1368,文化活动设施用地,临路型,2186.93,2.0457,4473.8635,0.5305,15,9.6667,DIKUAI_2024_0435
DIKUAI_821,旅馆用地,临路型,4399.47,1.4394,6332.5667,0.3301,24,15.5,DIKUAI_2024_0436
DIKUAI_938,城镇住宅用地,临路型,45155.3,1.4239,64297.639,0.3691,21,10.5,DIKUAI_2024_0437
DIKUAI_1024,公用设施用地,临路型,1988.74,0.4552,905.264,0.2276,6,6,DIKUAI_2024_0438
DIKUAI_1595,城镇住宅用地,临路型,1506.27,0,0,0,0,0,DIKUAI_2024_0439
DIKUAI_969,公园与绿地,临路型,18897.5,0.0688,1299.3077,0.039,6,4,DIKUAI_2024_0440
DIKUAI_1582,中小学用地,临路型,10162.7,0.7639,7763.286,0.2321,12,6.2,DIKUAI_2024_0441
DIKUAI_968,其它商务设施用地,非临路型,2382.75,0.345,821.9571,0.345,3,3,DIKUAI_2024_0442
DIKUAI_1653,城镇住宅用地,临路型,28199.9,1.2443,35090.2995,0.5071,21,6.0294,DIKUAI_2024_0443
DIKUAI_1622,城镇住宅用地,临路型,5241.11,2.4352,12763.2405,0.4931,21,9.7059,DIKUAI_2024_0444
DIKUAI_973,城镇住宅用地,临路型,7744.63,1.3295,10296.7523,0.351,15,10.1538,DIKUAI_2024_0445
DIKUAI_1583,城镇住宅用地,临路型,23352.6,0.8128,18982.0748,0.3791,21,5.7143,DIKUAI_2024_0448
DIKUAI_1648,社会福利设施用地,非临路型,2307.72,1.0668,2461.7797,0.3595,18,8.5,DIKUAI_2024_0449
DIKUAI_2276,公园与绿地,临路型,11179.3,0,0,0,0,0,DIKUAI_2024_0451
DIKUAI_1026,城镇住宅用地,临路型,47021.9,2.6216,123274.7584,0.2037,60,36,DIKUAI_2024_0452
DIKUAI_948,商住混合用地,临路型,1744.53,0.7994,1394.5289,0.2768,9,5,DIKUAI_2024_0453
DIKUAI_950,公园与绿地,临路型,1820.33,0,0,0,0,0,DIKUAI_2024_0454
DIKUAI_1003,商办混合用地,临路型,2133.61,10.8538,23157.8001,0.6916,78,43.5,DIKUAI_2024_0455
DIKUAI_2278,城镇住宅用地,临路型,7379.73,1.4047,10366.3959,0.1552,30,22,DIKUAI_2024_0456
DIKUAI_823,城镇住宅用地,临路型,5515.16,1.8114,9990.003,0.5143,12,9,DIKUAI_2024_0457
DIKUAI_967,中小学用地,非临路型,1608.53,0.0515,82.8071,0.0515,3,3,DIKUAI_2024_0458
DIKUAI_1586,公园与绿地,临路型,11817.2,0.6945,8207.0522,0.3836,6,4.875,DIKUAI_2024_0459
DIKUAI_847,城镇住宅用地,临路型,3674.98,2.1675,7965.41,0.3096,21,21,DIKUAI_2024_0460
DIKUAI_2279,商住混合用地,临路型,4214.51,0.3271,1378.6454,0.3271,3,3,DIKUAI_2024_0461
DIKUAI_1394,公园与绿地,非临路型,21934.7,0.0915,2007.012,0.0538,6,4.5,DIKUAI_2024_0462
DIKUAI_1437,公园与绿地,临路型,84097.6,0.2513,21137.1454,0.1329,15,5.9455,DIKUAI_2024_0464
DIKUAI_812,城镇住宅用地,临路型,38748.4,1.6368,63424.6854,0.3386,27,11.8636,DIKUAI_2024_4019
DIKUAI_1027,商住混合用地,临路型,19344.1,0.5481,10602.9942,0.1839,48,17.5,DIKUAI_2024_0466
DIKUAI_1004,城镇住宅用地,临路型,13235.4,1.1637,15402.4148,0.2884,18,9,DIKUAI_2024_0467
DIKUAI_810,零售商业用地,非临路型,363.564,0.6183,224.792,0.6183,3,3,DIKUAI_2024_0468
DIKUAI_995,城镇住宅用地,临路型,34680.3,0.3603,12495.886,0.1832,6,5.25,DIKUAI_2024_0470
DIKUAI_1354,其他草地,临路型,7745.67,1.3119,10161.2855,0.2771,15,8,DIKUAI_2024_0471
DIKUAI_1584,文物古迹用地,非临路型,2660.93,0.7832,2084.1361,0.5447,9,5,DIKUAI_2024_0472
DIKUAI_799,零售商业用地,临路型,5130.23,1.9501,10004.29,0.4457,21,15,DIKUAI_2024_0473
DIKUAI_964,中小学用地,非临路型,8955.72,1.7707,15857.6156,0.303,21,15.4286,DIKUAI_2024_0474
DIKUAI_811,零售商业用地,临路型,612.233,0.4844,296.57,0.4844,3,3,DIKUAI_2024_0475
DIKUAI_1632,商住混合用地,临路型,6934.89,3.0285,21002.2075,0.5008,24,13.5,DIKUAI_2024_0476
DIKUAI_962,城镇住宅用地,临路型,45469.4,1.7933,81541.9181,0.3873,21,11.7321,DIKUAI_2024_0477
DIKUAI_1370,零售商业用地,临路型,2485.3,1.2449,3094.0178,0.4017,12,6.375,DIKUAI_2024_0478
DIKUAI_1644,城镇住宅用地,临路型,4406.86,2.1381,9422.3731,0.4494,18,12.4286,DIKUAI_2024_0479
DIKUAI_949,零售商业用地,临路型,2163.46,0.1024,221.432,0.1024,3,3,DIKUAI_2024_0480
DIKUAI_997,城镇住宅用地,临路型,913.773,2.2222,2030.59,0.3704,18,18,DIKUAI_2024_0481
DIKUAI_1025,商住混合用地,临路型,32658.1,4.0456,132122.6259,0.3149,60,36.375,DIKUAI_2024_0482
DIKUAI_824,商办混合用地,临路型,5062.2,4.4389,22470.711,0.5611,33,16.2,DIKUAI_2024_0483
DIKUAI_996,中小学用地,临路型,10537.7,0.5283,5566.9456,0.2686,18,7,DIKUAI_2024_0484
DIKUAI_965,商住混合用地,非临路型,2596.33,1.737,4509.8793,0.5372,18,12.8571,DIKUAI_2024_0486
DIKUAI_806,旅馆用地,临路型,1708.33,0.9773,1669.51,0.4886,6,6,DIKUAI_2024_0487
DIKUAI_1005,其他草地,临路型,4020.73,0.5879,2363.81,0.294,6,6,DIKUAI_2024_0488
DIKUAI_966,城镇住宅用地,非临路型,685.756,0.7373,505.5748,0.252,18,6,DIKUAI_2024_0489
DIKUAI_1001,零售商业用地,临路型,37694,1.2366,46614.1912,0.3303,36,11.5714,DIKUAI_2024_0490
DIKUAI_947,零售商业用地,临路型,1203.11,0.5762,693.206,0.1853,21,14,DIKUAI_2024_0491
